,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Albuquerque, NM",41820.0,43021.0,43677.0,46437.0,44594.0,46079.0,43606.0,45373.0,48357.0,46433.0,47096.0
1,"Atlanta, GA",39752.0,41612.0,47153.0,48865.0,49981.0,41631.0,43903.0,46466.0,46485.0,46777.0,50210.0
2,"Austin, TX",43731.0,47212.0,48966.0,51372.0,50132.0,47434.0,49987.0,52453.0,56351.0,58458.0,62250.0
3,"Baltimore, MD",32456.0,36031.0,36949.0,40313.0,38772.0,38346.0,38721.0,39241.0,42266.0,42665.0,44165.0
4,"Boston, MA",42562.0,47974.0,50476.0,51688.0,55979.0,49893.0,49081.0,51642.0,53583.0,56902.0,58263.0
5,"Buffalo, NY",27311.0,27850.0,29706.0,29973.0,29285.0,28490.0,29158.0,30422.0,32392.0,31919.0,32509.0
6,"Charlotte, NC",47131.0,48670.0,52690.0,52530.0,49779.0,49616.0,50177.0,50950.0,51034.0,55178.0,53919.0
7,"Chicago, IL",41015.0,43223.0,45505.0,46911.0,45734.0,44776.0,43628.0,45214.0,47099.0,48734.0,50702.0
8,"Cincinnati, OH",29554.0,31103.0,33006.0,33562.0,32754.0,34110.0,31301.0,30188.0,34605.0,32688.0,35001.0
9,"Cleveland, OH",24105.0,26535.0,28512.0,26731.0,24687.0,25977.0,25371.0,24257.0,26096.0,24701.0,28831.0
10,"Columbus, OH",40405.0,40074.0,42253.0,44369.0,41370.0,41397.0,40463.0,43844.0,44426.0,46481.0,47401.0
11,"Dallas, TX",36403.0,38276.0,40986.0,40796.0,39829.0,40650.0,40585.0,41354.0,41978.0,43003.0,45918.0
12,"Denver, CO",42370.0,40900.0,44444.0,45831.0,46410.0,45074.0,47371.0,50488.0,51089.0,54941.0,58003.0
13,"Detroit, MI",28069.0,28364.0,28097.0,28730.0,26098.0,25787.0,25193.0,23600.0,24820.0,25769.0,25980.0
14,"Fresno, CA",37800.0,40328.0,44513.0,40134.0,43223.0,41144.0,40533.0,38386.0,40179.0,39880.0,43494.0
15,"Houston, TX",36894.0,39682.0,40856.0,44315.0,42945.0,42355.0,42877.0,42847.0,45353.0,45460.0,48064.0
16,"Jacksonville, FL",44173.0,45285.0,48699.0,50476.0,46312.0,45584.0,44802.0,42800.0,47424.0,44591.0,48239.0
17,"Memphis, TN",33244.0,32594.0,35143.0,37207.0,34203.0,37045.0,34960.0,33563.0,36722.0,34704.0,36908.0
18,"Miami, FL",25211.0,27088.0,29075.0,28333.0,28999.0,27291.0,28536.0,28301.0,31070.0,31917.0,29989.0
19,"Milwaukee, WI",32666.0,33990.0,35281.0,37331.0,34868.0,32911.0,33122.0,34042.0,35186.0,35049.0,37495.0
20,"Minneapolis, MN",41829.0,43369.0,44423.0,48724.0,45538.0,46508.0,46682.0,47604.0,50563.0,50791.0,54571.0
21,"Omaha, NE",40484.0,42321.0,45170.0,44358.0,46595.0,43813.0,45536.0,45159.0,47512.0,48410.0,51407.0
22,"Orlando, FL",36699.0,42036.0,43761.0,43127.0,39881.0,38098.0,40275.0,41695.0,41345.0,41081.0,44804.0
23,"Philadelphia, PA",32573.0,33229.0,35365.0,36976.0,37045.0,34400.0,34207.0,35386.0,36836.0,39043.0,41233.0
24,"Phoenix, AZ",42353.0,46645.0,48061.0,50140.0,47085.0,42260.0,43960.0,44153.0,46601.0,47929.0,48452.0
25,"Pittsburgh, PA",30278.0,31779.0,32363.0,36709.0,37461.0,36196.0,35947.0,39884.0,42004.0,41074.0,41293.0
26,"Portland, OR",42287.0,44273.0,47143.0,50979.0,50203.0,47185.0,47033.0,52158.0,55571.0,54624.0,60892.0
27,"Raleigh, NC",48131.0,51123.0,51071.0,53825.0,51969.0,49931.0,52040.0,53653.0,55170.0,53475.0,56910.0
28,"Sacramento, CA",44867.0,46055.0,49849.0,50958.0,47107.0,46731.0,47908.0,48546.0,48034.0,48829.0,52151.0
29,"Seattle, WA",49297.0,58311.0,57849.0,61786.0,60843.0,60212.0,61037.0,64473.0,70172.0,70975.0,80349.0
30,"Tampa, FL",38568.0,39602.0,44079.0,45224.0,41605.0,40883.0,40073.0,40894.0,42649.0,45709.0,44432.0
31,"Tucson, AZ",34241.0,36095.0,36096.0,36640.0,35565.0,36428.0,35362.0,35354.0,35720.0,36541.0,38155.0
32,"Tulsa, OK",35966.0,36137.0,38270.0,39657.0,38426.0,38220.0,40123.0,40440.0,41495.0,42803.0,43322.0
33,"Washington, DC",47221.0,51847.0,54317.0,57936.0,59290.0,60903.0,63124.0,66583.0,67572.0,71648.0,75628.0
34,"Wichita, KS",40115.0,41089.0,42696.0,44211.0,44405.0,42694.0,44184.0,43776.0,43538.0,45477.0,46894.0
