,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,"Albuquerque, NM",482442.0,485982.0,505490.0,506706.0,519532.0,540574.0,544579.0,548340.0,549629.0,550317.0,552275.0,553849.0,551049.0,553759.0,553804.0,554784.0,558997.0,554890.0,555391.0
1,"Atlanta, GA",388422.0,438135.0,425366.0,447703.0,532685.0,416670.0,427164.0,438201.0,441997.0,449800.0,460327.0,467099.0,481420.0,491120.0,501947.0,492410.0,491005.0,494738.0,505496.0
2,"Austin, TX",665672.0,706505.0,734639.0,763919.0,777744.0,782461.0,809464.0,831672.0,874143.0,900040.0,919721.0,934294.0,938330.0,953463.0,967577.0,954333.0,953064.0,966426.0,970338.0
3,"Baltimore, MD",600543.0,622612.0,627273.0,628349.0,628138.0,612017.0,610849.0,612602.0,612995.0,615275.0,613552.0,607542.0,603746.0,595926.0,586469.0,595287.0,568926.0,563521.0,558241.0
4,"Boston, MA",511840.0,565420.0,606616.0,603998.0,636866.0,615629.0,618046.0,631408.0,638500.0,648438.0,661446.0,664168.0,676287.0,688679.0,687036.0,681962.0,646938.0,643455.0,645761.0
5,"Charlotte, NC",592140.0,640115.0,663081.0,673310.0,692387.0,725808.0,741987.0,762800.0,784272.0,798163.0,815490.0,830055.0,849948.0,862010.0,872125.0,862707.0,869445.0,885833.0,899656.0
6,"Chicago, IL",2655958.0,2702974.0,2697424.0,2698979.0,2804553.0,2659970.0,2670397.0,2675954.0,2684006.0,2687174.0,2685744.0,2667356.0,2684432.0,2672528.0,2659927.0,2665195.0,2667710.0,2635373.0,2638357.0
7,"Columbus, OH",680756.0,705847.0,719362.0,725316.0,760540.0,778002.0,786775.0,798718.0,809934.0,823548.0,836248.0,849806.0,868634.0,883234.0,887026.0,876171.0,895229.0,895858.0,897432.0
8,"Dallas, TX",1121138.0,1170743.0,1217815.0,1200940.0,1272539.0,1184310.0,1206334.0,1222427.0,1242023.0,1260677.0,1278532.0,1296979.0,1320642.0,1328601.0,1321238.0,1319420.0,1270447.0,1279926.0,1287866.0
9,"Denver, CO",530860.0,554747.0,577696.0,587611.0,600376.0,595003.0,610005.0,624608.0,639929.0,655069.0,672556.0,683757.0,697290.0,706987.0,719506.0,707712.0,703702.0,705387.0,708432.0
10,"Detroit, MI",823511.0,821700.0,798762.0,767540.0,898565.0,702073.0,696759.0,692752.0,679356.0,670586.0,668337.0,661751.0,664366.0,662750.0,661408.0,662568.0,623360.0,613581.0,625759.0
11,"El Paso, TX",575784.0,586413.0,594865.0,591780.0,610601.0,644368.0,657257.0,662606.0,664766.0,668153.0,671239.0,670453.0,672291.0,672715.0,672792.0,669397.0,669399.0,668196.0,669744.0
12,"Fresno, CA",468823.0,468894.0,467164.0,466448.0,471218.0,488690.0,493749.0,497408.0,502698.0,508501.0,510470.0,511751.0,520357.0,522717.0,525068.0,518790.0,536835.0,536994.0,539014.0
13,"Houston, TX",1905895.0,2039957.0,2011629.0,1986684.0,2218541.0,2073046.0,2115408.0,2133021.0,2163581.0,2210650.0,2261829.0,2266947.0,2274143.0,2291172.0,2286546.0,2279884.0,2257448.0,2273980.0,2276308.0
14,"Jacksonville, FL",757882.0,786686.0,794748.0,803211.0,802746.0,812641.0,816038.0,825648.0,830415.0,840567.0,856748.0,867624.0,878097.0,892080.0,899706.0,888817.0,942505.0,959782.0,974186.0
15,"Las Vegas, NV",528473.0,560829.0,553578.0,569515.0,559097.0,575534.0,582173.0,588099.0,597206.0,605351.0,617053.0,624769.0,633800.0,635560.0,644570.0,637070.0,641571.0,648195.0,654018.0
16,"Los Angeles, CA",3667157.0,3716869.0,3753202.0,3740735.0,3776167.0,3752432.0,3771714.0,3810433.0,3839847.0,3880840.0,3921617.0,3934268.0,3956252.0,3947470.0,3935598.0,3933092.0,3808901.0,3783898.0,3783801.0
17,"Memphis, TN",630694.0,630626.0,628260.0,622802.0,664468.0,639074.0,643966.0,644689.0,642845.0,649380.0,646507.0,644105.0,645006.0,640895.0,643396.0,642416.0,620039.0,611769.0,609736.0
18,"Milwaukee, WI",547275.0,552369.0,571962.0,570813.0,596117.0,585667.0,589185.0,590189.0,590337.0,592299.0,592277.0,587264.0,587109.0,584202.0,581896.0,584166.0,562597.0,558292.0,555962.0
19,"Omaha, NE",367570.0,376136.0,368322.0,382393.0,447351.0,402754.0,408861.0,415971.0,428796.0,439363.0,438025.0,441230.0,460242.0,460915.0,470662.0,472540.0,481080.0,477774.0,478300.0
20,"Philadelphia, PA",1384092.0,1427922.0,1425456.0,1425845.0,1528196.0,1510651.0,1515863.0,1526107.0,1531037.0,1536510.0,1546208.0,1543861.0,1562649.0,1563422.0,1564638.0,1559890.0,1558765.0,1548664.0,1530695.0
21,"Phoenix, AZ",1354304.0,1405474.0,1485653.0,1494910.0,1566230.0,1428327.0,1447691.0,1466025.0,1488825.0,1516220.0,1542578.0,1590170.0,1604130.0,1638454.0,1660734.0,1637201.0,1604577.0,1625768.0,1634990.0
22,"Portland, OR",505427.0,531136.0,543033.0,553301.0,558421.0,577463.0,588652.0,597229.0,603324.0,613097.0,624849.0,633013.0,641113.0,647558.0,648136.0,644608.0,637452.0,628521.0,624727.0
23,"Raleigh, NC",311788.0,340336.0,349239.0,362966.0,398050.0,401196.0,410184.0,417636.0,426414.0,434346.0,447096.0,453964.0,460144.0,464260.0,469096.0,464068.0,465968.0,471209.0,477712.0
24,"Sacramento, CA",438313.0,430410.0,445672.0,451007.0,458403.0,460918.0,464380.0,470283.0,472456.0,480443.0,483176.0,489282.0,494946.0,502460.0,508736.0,497705.0,520347.0,522521.0,520620.0
25,"San Antonio, TX",1183543.0,1253335.0,1266172.0,1271196.0,1351145.0,1317529.0,1340808.0,1364336.0,1388407.0,1414802.0,1447595.0,1471966.0,1492627.0,1515386.0,1529674.0,1511229.0,1433641.0,1453646.0,1477259.0
26,"San Diego, CA",1190025.0,1243700.0,1257570.0,1250413.0,1288210.0,1295704.0,1310878.0,1321386.0,1335614.0,1365479.0,1376623.0,1389118.0,1402029.0,1408140.0,1407702.0,1397865.0,1368948.0,1368914.0,1373641.0
27,"San Francisco, CA",710551.0,734587.0,755251.0,798874.0,807125.0,798993.0,805064.0,817921.0,830556.0,843712.0,855672.0,861068.0,874611.0,875048.0,873649.0,866648.0,806418.0,801078.0,801259.0
28,"San Jose, CA",872650.0,902466.0,908720.0,902213.0,948954.0,934417.0,955346.0,972018.0,983044.0,1004512.0,1012982.0,1014616.0,1023548.0,1018995.0,1011082.0,1019123.0,974581.0,962855.0,959239.0
29,"Seattle, WA",529917.0,555858.0,570377.0,575008.0,609717.0,603362.0,612350.0,626942.0,645335.0,662250.0,678243.0,697460.0,716870.0,737289.0,747296.0,734270.0,727859.0,744270.0,747884.0
30,"Tucson, AZ",497334.0,508439.0,513037.0,530510.0,533931.0,515978.0,519863.0,517937.0,519722.0,521331.0,523461.0,523743.0,529237.0,539262.0,543386.0,539697.0,535526.0,540672.0,541472.0
31,"Washington, DC",505886.0,572680.0,579800.0,584439.0,592109.0,596747.0,611608.0,624847.0,636535.0,648586.0,663006.0,672022.0,684810.0,693798.0,697556.0,693253.0,661026.0,660942.0,670127.0
