,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
29,"Phoenix, AZ",42353.0,46645.0,48061.0,50140.0,47085.0,42260.0,43960.0,44153.0,46601.0,47929.0,48452.0,52062.0,56696.0,57957.0,60931.0,60914.0,68435.0,75969.0,79664.0
30,"Pittsburgh, PA",30278.0,31779.0,32363.0,36709.0,37461.0,36196.0,35947.0,39884.0,42004.0,41074.0,41293.0,44707.0,45851.0,47417.0,53799.0,50536.0,57821.0,63380.0,66219.0
31,"Portland, OR",42287.0,44273.0,47143.0,50979.0,50203.0,47185.0,47033.0,52158.0,55571.0,54624.0,60892.0,62127.0,66187.0,73097.0,76231.0,73159.0,79057.0,81119.0,86057.0
32,"Raleigh, NC",48131.0,51123.0,51071.0,53825.0,51969.0,49931.0,52040.0,53653.0,55170.0,53475.0,56910.0,64456.0,64660.0,65695.0,69333.0,69720.0,74612.0,75424.0,86309.0
33,"Riverside, CA",50416.0,52023.0,55999.0,56859.0,56552.0,53847.0,51331.0,52697.0,54300.0,58368.0,61279.0,63548.0,66928.0,67850.0,71967.0,72738.0,76558.0,81228.0,88175.0
34,"Sacramento, CA",44867.0,46055.0,49849.0,50958.0,47107.0,46731.0,47908.0,48546.0,48034.0,48829.0,52151.0,55187.0,56943.0,65046.0,69134.0,65847.0,75311.0,80254.0,85928.0
35,"San Antonio, TX",40186.0,40650.0,41593.0,42261.0,42513.0,43758.0,42613.0,45524.0,45399.0,45339.0,48869.0,49268.0,50044.0,49024.0,53751.0,53420.0,54923.0,58829.0,62322.0
36,"San Diego, CA",55637.0,58815.0,61863.0,62668.0,59901.0,60037.0,60797.0,62395.0,63456.0,67799.0,67871.0,71481.0,76662.0,79646.0,85507.0,83454.0,93042.0,100010.0,105780.0
37,"San Francisco, CA",57496.0,65497.0,68023.0,73798.0,70770.0,71745.0,69894.0,73012.0,77485.0,85070.0,92094.0,103801.0,110816.0,112376.0,123859.0,119136.0,121826.0,136692.0,126730.0
38,"San Jose, CA",70921.0,73804.0,76963.0,80616.0,76495.0,76794.0,76593.0,80090.0,80977.0,87210.0,91451.0,101940.0,104675.0,113036.0,115893.0,117324.0,126377.0,133835.0,136229.0
39,"Seattle, WA",49297.0,58311.0,57849.0,61786.0,60843.0,60212.0,61037.0,64473.0,70172.0,70975.0,80349.0,83476.0,86822.0,93481.0,102486.0,97185.0,110781.0,115409.0,120608.0
40,"St. Louis, MO",30874.0,30936.0,34191.0,34078.0,34801.0,32688.0,32570.0,31997.0,34488.0,35959.0,38397.0,40346.0,41441.0,43889.0,47176.0,45782.0,49965.0,52847.0,56245.0
41,"Stockton, CA",41118.0,45615.0,48132.0,49034.0,45730.0,45606.0,44310.0,43321.0,42114.0,40993.0,46795.0,49271.0,51336.0,54297.0,59504.0,58393.0,69844.0,76231.0,76191.0
42,"Tampa, FL",38568.0,39602.0,44079.0,45224.0,41605.0,40883.0,40073.0,40894.0,42649.0,45709.0,44432.0,50405.0,50489.0,54599.0,57709.0,55634.0,63404.0,71089.0,72851.0
43,"Toledo, OH",33044.0,33691.0,35216.0,34157.0,32325.0,31708.0,31090.0,31655.0,31907.0,33196.0,35289.0,35301.0,37339.0,35866.0,36709.0,39155.0,44150.0,47365.0,46302.0
44,"Tucson, AZ",34241.0,36095.0,36096.0,36640.0,35565.0,36428.0,35362.0,35354.0,35720.0,36541.0,38155.0,40021.0,41613.0,43676.0,44365.0,45227.0,50306.0,51281.0,55708.0
45,"Tulsa, OK",35966.0,36137.0,38270.0,39657.0,38426.0,38220.0,40123.0,40440.0,41495.0,42803.0,43322.0,43134.0,45894.0,47583.0,49158.0,49474.0,51008.0,54040.0,56821.0
46,"Washington, DC",47221.0,51847.0,54317.0,57936.0,59290.0,60903.0,63124.0,66583.0,67572.0,71648.0,75628.0,75506.0,82372.0,85203.0,92266.0,90842.0,90088.0,101027.0,108210.0
47,"Wichita, KS",40115.0,41089.0,42696.0,44211.0,44405.0,42694.0,44184.0,43776.0,43538.0,45477.0,46894.0,49202.0,50504.0,51051.0,55056.0,53466.0,56293.0,59277.0,61281.0
