,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Abilene, TX",13.694763371604592,13.517304667016257,29.180901542111506,31.096830985915492,19.354804270462633,11.067087608524073,6.2623012869038615,7.9626368578209945,5.589826154597587,5.513242946398027,4.721397379912664
1,"Akron, OH",10.318199920350459,10.303279552884108,9.444551498217555,7.881542106396727,5.90952994204765,6.16166481412869,16.665994840374072,16.642478997608485,13.389224876025697,8.80077272132731,8.831826184379002
2,"Albuquerque, NM",14.533702213279678,18.786018755328218,19.911129631032654,19.150971599402094,13.877965420184962,12.436433972217337,10.542099760998806,8.817330210772834,7.260191129831865,8.308842985411632,6.681221925947136
3,"Alexandria, VA",23.768227622999408,40.474035254883276,29.54551895147007,24.01628934290447,16.468270944741533,23.719206680584552,6.362097413589902,4.41346524476423,4.519604908709967,3.842082765078267,3.4405210135341404
4,"Allentown, PA",9.858149276466108,10.491041433370661,10.938175529615219,11.420283626987537,6.4815256257449345,6.079585152838428,16.84266761641884,12.230240086323173,16.841752149578912,14.82430582370906,10.392898072285035
5,"Amarillo, TX",18.171577470434958,16.523374159047783,18.43846889952153,30.746632456703015,17.616613418530353,14.747505422993493,5.839430873681968,4.931734729069037,5.1166867535882545,3.5801401346925688,3.7324137388980585
6,"Anaheim, CA",14.052579034941763,17.116733417993554,15.04866370679899,11.2645492207536,8.316299852640586,6.947624274737337,11.514509686553936,11.795449425546293,9.850070408923987,6.379095490686929,6.68820215779256
7,"Anchorage, AK",12.81366919799963,12.609018217789135,14.652566814074216,16.511550802139038,13.173254061296266,11.754006708907939,7.661335213567373,6.494627840373589,6.606992700196206,5.7183315376327535,6.38002773925104
8,"Arlington, VA",31.389930369576863,49.6311377245509,39.5732771591935,42.709645988957455,17.3570222007722,23.814248927038626,3.375747462105409,4.198721862661293,3.4525576813685364,3.231800203567208,4.125579518924889
9,"Arlington, TX",11.645063635240332,13.063362154313246,16.550008252186828,16.860931105047747,11.282052683353372,8.792764298093587,9.248439150657635,8.889317765125929,7.271394718198031,6.764301278253622,4.317417092367747
10,"Arvada, CO",18.68440065681445,13.601051122790253,13.516476274165202,17.715883027522935,12.952516411378555,9.64583666293751,8.770490430822296,7.3441302341193255,5.421948120370657,4.136609895537131,4.598219141893677
11,"Atlanta, GA",10.534443789308176,10.19023642732049,10.807413896445203,11.776196319018405,7.966136535756789,6.6968349928876245,13.222760712963632,14.661379014288928,11.253639626218852,10.482968109451917,7.382863100691921
12,"Aurora, CO",14.12896387244943,14.614694385216774,16.76987791115215,20.906915887850467,11.493252038090018,8.498386397572371,11.95167689628117,10.213041600690946,9.976845840907124,6.5230662358302895,5.592808803016997
13,"Aurora, IL",12.094173352623963,15.728001282256772,14.485946102578962,21.911478378990264,8.731852509995557,8.939580658964484,11.739358906988965,10.237373405543405,8.572596981426358,7.29912452285546,4.278079853759991
14,"Austin, TX",14.198369367401908,16.34728908531292,19.592060018755863,19.4349764252036,13.391172640280844,11.853359223300972,8.2512891672835,7.106502305753443,5.853624982803686,4.469576219506403,4.170989606868504
