,"City, State",2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
0,"Albuquerque, NM",0.019036709869535352,0.018165304268846504,0.019800282192998182,0.017889372544856143,0.015385311211451917,0.0157222104160102,0.015254700966191453,0.01499411216506166,0.01549720960647837,0.017656931616070886,0.019316766746289668
1,"Arlington, TX",0.012967321692484537,0.01462397409712506,0.013911248599065238,0.01203716514650007,0.012292141470414452,0.01053530284206897,0.010044810359983706,0.010066043580853952,0.009699945876730955,0.00968206885026738,0.010042186471946641
2,"Atlanta, GA",0.03349695587764068,0.03107426040131411,0.032476020028554764,0.027777777777777776,0.023002309635902267,0.027375994933369525,0.028655826927641334,0.027580936342356897,0.024460112633586092,0.02454865382964722,0.022392459813647222
3,"Aurora, CO",0.0124033418050073,0.012263294315761668,0.01095503883024891,0.010249017618067608,0.009382310640898233,0.008914783528876147,0.008828687186309489,0.008309788931361143,0.008320620465582095,0.008149355460068158,0.00921615492023307
4,"Austin, TX",0.009791939326338817,0.010306939996872416,0.01080052509915362,0.0104441067767257,0.010465947956357205,0.009590202305191108,0.008599517733097735,0.008176241834263616,0.0072697222933494725,0.007923232484146897,0.00745050749524889
5,"Baltimore, MD",0.035089853797475264,0.03392956853986159,0.03262222521253947,0.03177059612417638,0.030258862944321376,0.030005104990490545,0.02835137066721119,0.028103486315977963,0.02802443023683454,0.026770893309361634,0.030718613380721512
6,"Boston, MA",0.026353576267334287,0.026789095881349874,0.02310363180170819,0.022088954695474512,0.019839095706335245,0.01884409498796944,0.016904881075191638,0.016700282883637146,0.015647740987482117,0.014513770356028992,0.014135869091390108
7,"Buffalo, NY",0.02780396019331448,0.028214507262187428,0.025490081509830845,0.02749649449293164,0.029182408665388695,0.027545826795759825,0.02476341415095777,0.02577409939260919,0.025109258894311582,0.024557017866333356,0.022371520674477712
8,"Charlotte, NC",0.02343152341823187,0.021538523129891705,0.01972750245127787,0.01863544767906965,0.014465583483775402,0.01254840989761924,0.012127000372397964,0.0129572642806962,0.012160384318762998,0.011795788618721088,0.013551799520856852
9,"Chicago, IL",0.02509186720729606,0.02474844250604312,0.024738407765945318,0.025298801401334038,0.023522423397301883,0.022090831051217577,0.020914202062127157,0.020395941192933642,0.018884388988419272,0.017718008854966428,0.018076772962899848
10,"Cincinnati, OH",0.0237867969913329,0.02443837672757389,0.02163134649867023,0.025339137964210123,0.023881187643898696,0.024348107212495328,0.02070265177009019,0.01960135582233866,0.019278831397917643,0.018268491052201928,0.01850052600191639
11,"Cleveland, OH",0.028024450570404348,0.031054048621893766,0.029371112646855563,0.028395300979116488,0.027928561776916303,0.02786689011252095,0.027352898218611657,0.027776860742392346,0.029713680780921986,0.026784680500701135,0.0
12,"Columbus, OH",0.016986864823935514,0.016272365275231803,0.017125442097010658,0.015571488800843743,0.014156080332792987,0.013905388973524618,0.01327562280268509,0.012059434350325565,0.010892200048017796,0.011169808777206849,0.01092545517814909
13,"Dallas, TX",0.02508162623353759,0.024127099084057895,0.021383193016889623,0.017896685038716078,0.015843244726281246,0.015296172367041349,0.013622006490485445,0.013499265836467187,0.013274741736154548,0.01329303141474824,0.013883501782289549
14,"Denver, CO",0.015750542022701187,0.015212897891690782,0.012305824861742592,0.011331110290260609,0.011487067539855792,0.011287027749359335,0.012177946060673553,0.012361883397370117,0.012613620429565734,0.012029704532781847,0.013478542476898323
15,"Detroit, MI",0.04722664973605111,0.0483706479193001,0.045739055090124985,0.039704874125480384,0.03983527824041407,0.04755827100060663,0.04277388084499025,0.042492108568002084,0.04143799945419917,0.0397900375934359,0.03519180066099744
16,"Fresno, CA",0.016915604286849063,0.015148226079966643,0.012889425418811022,0.011695881847209405,0.01218605230903463,0.01226688769167012,0.011648817135549872,0.010861423961139184,0.010029948356770608,0.009283165785571342,0.011024562387080794
17,"Houston, TX",0.02345077458826474,0.023387819719934474,0.022644389788821984,0.02213502643044895,0.022511501817905146,0.021425601264330532,0.01949218801023312,0.01985051943417293,0.019254280690780452,0.019827625428335,0.019333506503324292
18,"Jacksonville, FL",0.01659836606690399,0.016744950504007178,0.020432683263309714,0.019928543072647877,0.016719666594244405,0.013287026745334416,0.012420469566613817,0.012345062213023101,0.012405630538755772,0.013674898162545078,0.012965000034591782
19,"Memphis, TN",0.03722304370622161,0.03982503657311391,0.039042888904826795,0.03850629272400996,0.03617506791065909,0.0321569852014797,0.031676433413765366,0.034731897857738246,0.0331158553180749,0.034874381987473314,0.03480277716981591
20,"Mesa, AZ",0.010080912587876377,0.009066684069131291,0.009784942451867234,0.010021430713561767,0.008495581235809724,0.008154135946301143,0.00825143288355463,0.007993070309332707,0.007922745557979196,0.00917133384693957,0.008373068610758459
21,"Miami, FL",0.03159453508286226,0.03018827589366153,0.02983044567729103,0.026693785944732783,0.023773571403012846,0.02442816122886819,0.023951533831726768,0.023440422661327887,0.02363800628116082,0.021199253073488848,0.020426103217351
22,"Milwaukee, WI",0.020552429667519183,0.026856911730535882,0.02812520726500948,0.024592655086683794,0.022031742776674336,0.021303458281568103,0.0222186513476146,0.026466687242969994,0.027276737044465343,0.029694823559980946,0.03192205196535643
23,"Minneapolis, MN",0.029084956029733416,0.03396731165834448,0.030061415795711668,0.025369406481169362,0.02217355168862939,0.021245340819388465,0.019308434341207322,0.019844198441984418,0.020383335941404217,0.02023928141403003,0.021258637077094605
