,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
28,"Montgomery, AL",188771.0,199887.0,198500.0,193758.0,197562.0,204201.0,209881.0,202186.0,198604.0,198068.0,198287.0,197940.0,197258.0,195688.0,196772.0,196833.0,196797.0,194932.0,193246.0
29,"New Orleans, LA",430797.0,219421.0,237322.0,308090.0,350546.0,343697.0,356135.0,364911.0,374354.0,380332.0,384261.0,386312.0,389799.0,386611.0,385945.0,387468.0,372680.0,365057.0,359843.0
30,"Omaha, NE",367570.0,376136.0,368322.0,382393.0,447351.0,402754.0,408861.0,415971.0,428796.0,439363.0,438025.0,441230.0,460242.0,460915.0,470662.0,472540.0,481080.0,477774.0,478300.0
31,"Orlando, FL",216837.0,215687.0,220265.0,228973.0,232369.0,235901.0,240837.0,246155.0,252370.0,258478.0,266949.0,273775.0,275757.0,282131.0,283664.0,281421.0,306378.0,313625.0,316702.0
32,"Philadelphia, PA",1384092.0,1427922.0,1425456.0,1425845.0,1528196.0,1510651.0,1515863.0,1526107.0,1531037.0,1536510.0,1546208.0,1543861.0,1562649.0,1563422.0,1564638.0,1559890.0,1558765.0,1548664.0,1530695.0
33,"Phoenix, AZ",1354304.0,1405474.0,1485653.0,1494910.0,1566230.0,1428327.0,1447691.0,1466025.0,1488825.0,1516220.0,1542578.0,1590170.0,1604130.0,1638454.0,1660734.0,1637201.0,1604577.0,1625768.0,1634990.0
34,"Pittsburgh, PA",281188.0,292924.0,288027.0,294264.0,308590.0,302709.0,305051.0,303049.0,302193.0,301843.0,301549.0,301325.0,299597.0,298041.0,297682.0,298260.0,298278.0,300449.0,300292.0
35,"Portland, OR",505427.0,531136.0,543033.0,553301.0,558421.0,577463.0,588652.0,597229.0,603324.0,613097.0,624849.0,633013.0,641113.0,647558.0,648136.0,644608.0,637452.0,628521.0,624727.0
36,"Raleigh, NC",311788.0,340336.0,349239.0,362966.0,398050.0,401196.0,410184.0,417636.0,426414.0,434346.0,447096.0,453964.0,460144.0,464260.0,469096.0,464068.0,465968.0,471209.0,477712.0
37,"Reno, NV",201730.0,201681.0,203844.0,216209.0,217189.0,223726.0,225594.0,227475.0,230434.0,233674.0,238985.0,242630.0,245613.0,248095.0,252091.0,247655.0,267627.0,271341.0,271297.0
38,"Richmond, VA",177019.0,189847.0,197190.0,198955.0,200625.0,202005.0,202686.0,207399.0,211135.0,214578.0,217782.0,220298.0,223789.0,226983.0,226780.0,226445.0,224801.0,226718.0,225478.0
39,"Riverside, CA",289333.0,308154.0,310804.0,300543.0,293346.0,302140.0,305878.0,309108.0,312939.0,316035.0,318400.0,320526.0,324123.0,326357.0,327909.0,324176.0,314806.0,318087.0,316195.0
40,"Sacramento, CA",438313.0,430410.0,445672.0,451007.0,458403.0,460918.0,464380.0,470283.0,472456.0,480443.0,483176.0,489282.0,494946.0,502460.0,508736.0,497705.0,520347.0,522521.0,520620.0
