Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type,Date
"Buffalo, NY","Phoenix, AZ","$3,030.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Phoenix, AZ","$3,636.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Pittsburgh, PA",$268.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Pittsburgh, PA",$270.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Pittsburgh, PA",$406.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Pittsburgh, PA",$487.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Portland, OR","$2,145.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Portland, OR","$2,258.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Portland, OR","$3,387.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Portland, OR","$4,064.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Raleigh, NC","$1,552.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Raleigh, NC","$1,568.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Raleigh, NC","$2,352.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Raleigh, NC","$2,822.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Sacramento, CA","$2,130.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Sacramento, CA","$2,242.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Sacramento, CA","$3,363.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Sacramento, CA","$4,036.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Seattle, WA","$2,172.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Seattle, WA","$2,286.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Seattle, WA","$3,429.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Seattle, WA","$4,115.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Tampa, FL","$2,592.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tampa, FL","$2,728.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tampa, FL","$4,092.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tampa, FL","$4,910.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Tucson, AZ","$1,913.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tucson, AZ","$2,014.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tucson, AZ","$3,021.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tucson, AZ","$3,625.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Tulsa, OK","$1,414.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tulsa, OK","$1,428.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tulsa, OK","$2,142.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Tulsa, OK","$2,570.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Washington, DC",$421.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Washington, DC",$425.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Washington, DC",$638.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Washington, DC",$765.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Buffalo, NY","Wichita, KS","$1,302.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Buffalo, NY","Wichita, KS","$1,370.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Buffalo, NY","Wichita, KS","$2,055.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Buffalo, NY","Wichita, KS","$2,466.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Albuquerque, NM","$2,066.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Albuquerque, NM","$2,176.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Albuquerque, NM","$2,719.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Albuquerque, NM","$3,263.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Atlanta, GA",$347.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Atlanta, GA",$366.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Atlanta, GA",$402.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Atlanta, GA",$457.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Austin, TX","$1,422.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Austin, TX","$1,496.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Austin, TX","$1,871.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Austin, TX","$2,244.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Baltimore, MD",$486.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Baltimore, MD",$514.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Baltimore, MD",$564.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Baltimore, MD",$641.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Boston, MA",$785.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Boston, MA",$827.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Boston, MA",$910.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Boston, MA","$1,033.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Buffalo, NY",$655.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Buffalo, NY",$690.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Buffalo, NY",$760.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Buffalo, NY",$863.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Chicago, IL",$919.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Chicago, IL",$967.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Chicago, IL","$1,210.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Chicago, IL","$1,452.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Cincinnati, OH",$457.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Cincinnati, OH",$571.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Cincinnati, OH",$714.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Cincinnati, OH",$857.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Cleveland, OH",$487.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Cleveland, OH",$608.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Cleveland, OH",$761.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Cleveland, OH",$913.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Columbus, OH",$430.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Columbus, OH",$536.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Columbus, OH",$671.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Columbus, OH",$805.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Dallas, TX","$1,286.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Dallas, TX","$1,355.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Dallas, TX","$1,693.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Dallas, TX","$2,032.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Denver, CO","$2,011.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Denver, CO","$2,117.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Denver, CO","$2,647.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Denver, CO","$3,176.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Detroit, MI",$580.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Detroit, MI",$724.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Detroit, MI",$905.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Detroit, MI","$1,086.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Fresno, CA","$2,766.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Fresno, CA","$2,912.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Fresno, CA","$3,640.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Fresno, CA","$4,368.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Houston, TX","$1,309.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Houston, TX","$1,379.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Houston, TX","$1,723.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Houston, TX","$2,068.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Jacksonville, FL",$395.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Jacksonville, FL",$493.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Jacksonville, FL",$617.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Jacksonville, FL",$739.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Memphis, TN",$578.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Memphis, TN",$608.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Memphis, TN",$761.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Memphis, TN",$913.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Miami, FL",$616.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Miami, FL",$769.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Miami, FL",$961.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Miami, FL","$1,153.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Milwaukee, WI","$1,277.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Milwaukee, WI","$1,343.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Milwaukee, WI","$1,476.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Milwaukee, WI","$1,678.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Minneapolis, MN","$1,650.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Minneapolis, MN","$1,738.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Minneapolis, MN","$2,172.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Minneapolis, MN","$2,605.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Omaha, NE","$1,652.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Omaha, NE","$1,740.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Omaha, NE","$2,174.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Omaha, NE","$2,610.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Orlando, FL",$493.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Orlando, FL",$617.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Orlando, FL",$770.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Orlando, FL",$924.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Philadelphia, PA",$577.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Philadelphia, PA",$607.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Philadelphia, PA",$667.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Philadelphia, PA",$760.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Phoenix, AZ","$2,390.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Phoenix, AZ","$2,516.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Phoenix, AZ","$3,145.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Phoenix, AZ","$3,774.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Pittsburgh, PA",$570.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Pittsburgh, PA",$600.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Pittsburgh, PA",$750.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Pittsburgh, PA",$900.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Portland, OR","$2,917.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Portland, OR","$3,071.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Portland, OR","$3,838.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Portland, OR","$4,606.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Raleigh, NC",$210.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Raleigh, NC",$262.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Raleigh, NC",$328.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Raleigh, NC",$394.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Sacramento, CA","$2,892.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Sacramento, CA","$3,044.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Sacramento, CA","$3,805.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Sacramento, CA","$4,566.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Seattle, WA","$3,014.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Seattle, WA","$3,173.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Seattle, WA","$3,967.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Seattle, WA","$4,760.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Tampa, FL",$552.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tampa, FL",$690.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tampa, FL",$862.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tampa, FL","$1,034.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Tucson, AZ","$2,333.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tucson, AZ","$2,455.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tucson, AZ","$3,070.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tucson, AZ","$3,683.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Tulsa, OK","$1,144.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tulsa, OK","$1,204.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tulsa, OK","$1,505.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Tulsa, OK","$1,806.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Washington, DC",$468.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Washington, DC",$493.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Washington, DC",$544.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Washington, DC",$617.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Charlotte, NC","Wichita, KS","$1,688.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Charlotte, NC","Wichita, KS","$1,777.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Charlotte, NC","Wichita, KS","$2,221.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Charlotte, NC","Wichita, KS","$2,665.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Albuquerque, NM","$1,428.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Albuquerque, NM","$1,504.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Albuquerque, NM","$1,655.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Albuquerque, NM","$1,880.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Atlanta, GA","$1,062.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Atlanta, GA","$1,118.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Atlanta, GA","$1,397.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Atlanta, GA","$1,677.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Austin, TX","$1,711.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Austin, TX","$1,801.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Austin, TX","$2,252.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Austin, TX","$2,702.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Baltimore, MD",$809.00,9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries,09/28/2024
"Chicago, IL","Baltimore, MD","$1,213.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Baltimore, MD","$1,277.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Baltimore, MD","$1,597.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Baltimore, MD","$1,916.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Boston, MA","$1,891.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Boston, MA","$1,990.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Boston, MA","$2,188.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Boston, MA","$2,485.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Buffalo, NY","$1,261.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Buffalo, NY","$1,327.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Buffalo, NY","$1,462.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Buffalo, NY","$1,660.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Charlotte, NC","$1,581.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Charlotte, NC","$1,663.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Charlotte, NC","$1,832.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Charlotte, NC","$2,079.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Cincinnati, OH",$459.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Cincinnati, OH",$483.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Cincinnati, OH",$604.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Cincinnati, OH",$724.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Cleveland, OH",$518.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Cleveland, OH",$546.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Cleveland, OH",$682.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Cleveland, OH",$819.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Columbus, OH",$496.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Columbus, OH",$522.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Columbus, OH",$652.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Columbus, OH",$783.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Dallas, TX","$1,403.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Dallas, TX","$1,476.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Dallas, TX","$1,624.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Dallas, TX","$1,846.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Denver, CO","$1,280.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Denver, CO","$1,348.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Denver, CO","$1,685.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Denver, CO","$2,022.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Detroit, MI",$411.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Detroit, MI",$432.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Detroit, MI",$540.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Detroit, MI",$648.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Fresno, CA","$2,970.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Fresno, CA","$3,126.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Fresno, CA","$4,064.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Chicago, IL","Fresno, CA","$4,690.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Chicago, IL","Houston, TX","$1,576.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Chicago, IL","Houston, TX","$1,660.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Chicago, IL","Houston, TX","$1,826.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
