,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
22,"Orlando, FL",182152.54385896985,241485.8322640411,266076.1781927384,240915.3840248386,182059.6272482045,147762.60113834796,133568.71241948867,124046.84017194338,135615.3189961874,161325.0944834055,175805.4594647542
23,"Philadelphia, PA",199515.35174020875,228025.85421818795,239576.54138434285,239167.0385013781,226266.9619746527,219674.68977462765,212111.8808989101,200090.90725934436,198223.55083396935,204522.17446841064,207392.47204324015
24,"Phoenix, AZ",200405.06040396632,286482.7443987717,290097.9526438539,263124.9234273958,188846.940312373,159756.42676940953,141663.64242196394,134495.96609810958,165192.7456072611,196380.34853641735,204581.6239221508
25,"Pittsburgh, PA",108481.24552782754,113226.53024566296,115856.98198185816,118485.66545051128,117640.899683844,120418.70618046972,122541.1398078701,121071.43261729542,122996.5450955672,127490.28642963484,132416.11963727855
26,"Portland, OR",224313.2629337253,271016.156204153,305623.00865762396,309033.61589653464,279472.377913081,256840.6044002131,239948.4712153008,221911.4910860377,235544.77703812555,265062.03021897067,286777.3622696665
27,"Raleigh, NC",192476.6223675505,202293.96736478203,214837.58697030073,223589.2268841575,216287.7612294388,209981.76619120224,204561.25415059735,194434.98596198732,198460.7395195776,208857.6813447367,218868.4280223216
28,"Sacramento, CA",370444.2367883933,432095.33133539464,406381.0528990745,350605.2567962675,271752.49017851544,242502.74479773224,229964.9443130704,207878.78417973453,229421.82640177023,290664.7370257174,311321.38103884045
29,"Seattle, WA",299643.15281371184,352198.21291001636,398889.7747150215,405935.6889660835,357748.3020291566,323666.74870830384,297615.0726461617,266714.37445676984,271791.4001730326,306945.2879999953,328651.2629877088
30,"Tampa, FL",169048.25247032347,211507.50886467085,227733.6992468868,201667.48640555592,161729.67031551842,139153.28347378114,128574.88512378924,116206.52938556384,124118.31220575485,143187.8334544939,154836.49686805205
31,"Tucson, AZ",174185.07201407175,226725.2392351481,235879.68025022896,223009.08064913825,191140.58020343995,171524.1348380214,156746.03982198337,136212.56484571393,153919.23960846025,167351.14424684123,172410.65188458396
32,"Tulsa, OK",119011.42851215924,122572.23661016046,126631.15575313225,128703.7256093837,128249.2978292459,128489.29244153954,126555.34595007791,122320.5958559984,124317.41652800316,127282.1576029435,132175.71273875862
33,"Washington, DC",353870.31062375807,425827.4468527352,431580.1150266503,401361.6722959774,339165.9925361583,319790.0671572357,318414.8118626578,314068.0955185042,336099.63154273556,362697.9047963016,373022.6968560163
34,"Wichita, KS",109902.90989427968,107354.06881968156,111378.1487737021,114261.77791867852,115047.3007874122,117629.0321660835,114371.62730207788,110632.66039867314,111972.28711348514,112149.5964200725,115130.54646080248
