,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
47,"Costa Mesa, CA",53361.0,61535.0,63619.0,61322.0,65532.0,63570.0,61136.0,62656.0,65149.0,66820.0,72128.0
48,"Dallas, TX",36403.0,38276.0,40986.0,40796.0,39829.0,40650.0,40585.0,41354.0,41978.0,43003.0,45918.0
49,"Dayton, OH",25928.0,28630.0,28927.0,29514.0,27232.0,28050.0,25434.0,27033.0,28965.0,26131.0,30135.0
50,"Denver, CO",42370.0,40900.0,44444.0,45831.0,46410.0,45074.0,47371.0,50488.0,51089.0,54941.0,58003.0
51,"Des Moines, IA",42690.0,41651.0,42953.0,43583.0,42718.0,42986.0,41813.0,45001.0,45110.0,47888.0,49072.0
52,"Detroit, MI",28069.0,28364.0,28097.0,28730.0,26098.0,25787.0,25193.0,23600.0,24820.0,25769.0,25980.0
53,"Downey, CA",42191.0,60648.0,59376.0,56830.0,59955.0,53490.0,53202.0,60676.0,64386.0,58844.0,69860.0
54,"Durham, NC",42321.0,43624.0,45888.0,47746.0,46136.0,45525.0,43654.0,49332.0,50522.0,48731.0,52106.0
55,"East Los Angeles, CA",31915.0,35736.0,35482.0,34063.0,33542.0,38986.0,34055.0,35171.0,40177.0,38661.0,41220.0
56,"El Monte, CA",36630.0,38021.0,41376.0,45983.0,43212.0,41076.0,33829.0,40902.0,31852.0,38912.0,41632.0
57,"El Paso, TX",32205.0,33103.0,35646.0,37600.0,37030.0,37278.0,40702.0,40974.0,41129.0,41221.0,45069.0
58,"Elizabeth, NJ",40413.0,42412.0,42587.0,43594.0,41312.0,43891.0,41986.0,39937.0,42386.0,43660.0,44016.0
59,"Elk Grove, CA",82784.0,77064.0,79622.0,76331.0,72415.0,75590.0,73250.0,76835.0,70713.0,81768.0,84454.0
60,"Escondido, CA",51857.0,51595.0,49424.0,53188.0,48922.0,43102.0,43661.0,45466.0,49233.0,52585.0,54284.0
61,"Eugene, OR",33070.0,40499.0,41706.0,40456.0,39640.0,40701.0,37339.0,39150.0,45573.0,45030.0,45927.0
62,"Evansville, IN",34362.0,31935.0,34196.0,33600.0,34567.0,33039.0,35939.0,34104.0,32414.0,35325.0,35293.0
63,"Fairfield, CA",60680.0,63763.0,65481.0,76082.0,66753.0,61603.0,64059.0,63020.0,61823.0,70462.0,70776.0
64,"Fayetteville, NC",40778.0,40757.0,42499.0,44086.0,39444.0,43257.0,43379.0,44322.0,44924.0,41455.0,40408.0
65,"Fontana, CA",58481.0,60772.0,61198.0,62037.0,59185.0,58579.0,64202.0,61085.0,64679.0,64399.0,64297.0
66,"Fort Collins, CO",44261.0,45846.0,46867.0,50285.0,50652.0,47752.0,51676.0,51343.0,56464.0,53181.0,61514.0
67,"Fort Lauderdale, FL",44169.0,48759.0,52264.0,49493.0,48148.0,43320.0,46145.0,50997.0,49263.0,46829.0,51247.0
68,"Fort Wayne, IN",38063.0,40439.0,43685.0,43212.0,41038.0,42609.0,42277.0,42540.0,39878.0,43257.0,44977.0
69,"Fort Worth, TX",40663.0,45276.0,47104.0,48870.0,47634.0,48224.0,47399.0,50750.0,52430.0,52273.0,55888.0
70,"Fremont, CA",81582.0,88335.0,93342.0,94866.0,100450.0,87385.0,92655.0,100574.0,104838.0,106921.0,112263.0
71,"Fresno, CA",37800.0,40328.0,44513.0,40134.0,43223.0,41144.0,40533.0,38386.0,40179.0,39880.0,43494.0
72,"Fullerton, CA",58228.0,62124.0,65875.0,65466.0,68166.0,65360.0,65648.0,61943.0,65105.0,61159.0,68801.0
73,"Gainesville, FL",26954.0,28577.0,27479.0,35005.0,27420.0,31132.0,30143.0,28914.0,31600.0,33312.0,34313.0
