,Dropoff Location,Year,TruckingCost
609,"Wichita, KS",2006,2050.31165625
610,"Wichita, KS",2007,2005.7050312499998
611,"Wichita, KS",2008,1797.00975
612,"Wichita, KS",2009,1472.815171875
613,"Wichita, KS",2010,1643.2762031250002
614,"Wichita, KS",2011,1767.537515625
615,"Wichita, KS",2012,1788.2477343750002
616,"Wichita, KS",2013,1770.723703125
617,"Wichita, KS",2014,1837.633640625
618,"Wichita, KS",2015,1767.537515625
619,"Wichita, KS",2016,1734.87909375
620,"Wichita, KS",2017,1830.46471875
621,"Wichita, KS",2018,1952.3363906250001
622,"Wichita, KS",2019,1875.07134375
623,"Wichita, KS",2020,1730.0998125
624,"Wichita, KS",2021,1899.764296875
625,"Wichita, KS",2022,1916.49178125
626,"Wichita, KS",2023,1821.702703125
