,Dropoff Location,Year,TruckingCost
138,"Cincinnati, OH",2010,1504.3943984375
139,"Cincinnati, OH",2011,1618.1537421874998
140,"Cincinnati, OH",2012,1637.1136328125
141,"Cincinnati, OH",2013,1621.0706484374998
142,"Cincinnati, OH",2014,1682.3256796875
143,"Cincinnati, OH",2015,1618.1537421874998
144,"Cincinnati, OH",2016,1588.255453125
145,"Cincinnati, OH",2017,1675.7626406250001
146,"Cincinnati, OH",2018,1787.3343046875
147,"Cincinnati, OH",2019,1716.599328125
148,"Cincinnati, OH",2020,1583.88009375
149,"Cincinnati, OH",2021,1739.2053515624998
150,"Cincinnati, OH",2022,1754.5191093750002
151,"Cincinnati, OH",2023,1667.7411484375
152,"Cleveland, OH",2005,1955.05290625
153,"Cleveland, OH",2006,2022.6311015625
154,"Cleveland, OH",2007,1978.6266953124998
155,"Cleveland, OH",2008,1772.7489374999998
156,"Cleveland, OH",2009,1452.93119921875
157,"Cleveland, OH",2010,1621.0908945312501
158,"Cleveland, OH",2011,1743.67459765625
159,"Cleveland, OH",2012,1764.10521484375
160,"Cleveland, OH",2013,1746.81776953125
161,"Cleveland, OH",2014,1812.8243789062499
162,"Cleveland, OH",2015,1743.67459765625
163,"Cleveland, OH",2016,1711.4570859374999
164,"Cleveland, OH",2017,1805.7522421875
165,"Cleveland, OH",2018,1925.9785664062501
166,"Cleveland, OH",2019,1849.7566484375
167,"Cleveland, OH",2020,1706.742328125
168,"Cleveland, OH",2021,1874.1162304687498
169,"Cleveland, OH",2022,1890.6178828125
170,"Cleveland, OH",2023,1797.1085195312498
171,"Columbus, OH",2005,1898.071875
172,"Columbus, OH",2006,1963.6804687499998
173,"Columbus, OH",2007,1920.9585937499999
174,"Columbus, OH",2008,1721.0812499999997
175,"Columbus, OH",2009,1410.584765625
176,"Columbus, OH",2010,1573.843359375
177,"Columbus, OH",2011,1692.8542968749998
178,"Columbus, OH",2012,1712.689453125
179,"Columbus, OH",2013,1695.9058593749999
180,"Columbus, OH",2014,1759.988671875
181,"Columbus, OH",2015,1692.8542968749998
182,"Columbus, OH",2016,1661.5757812499999
183,"Columbus, OH",2017,1753.12265625
184,"Columbus, OH",2018,1869.844921875
185,"Columbus, OH",2019,1795.84453125
186,"Columbus, OH",2020,1656.9984375000001
187,"Columbus, OH",2021,1819.4941406249998
188,"Columbus, OH",2022,1835.5148437500002
189,"Columbus, OH",2023,1744.730859375
190,"Dallas, TX",2005,1902.90209375
191,"Dallas, TX",2006,1968.6776484374998
192,"Dallas, TX",2007,1925.8470546874998
193,"Dallas, TX",2008,1725.4610624999998
194,"Dallas, TX",2009,1414.17442578125
195,"Dallas, TX",2010,1577.84848046875
196,"Dallas, TX",2011,1697.1622773437498
197,"Dallas, TX",2012,1717.04791015625
198,"Dallas, TX",2013,1700.2216054687499
199,"Dallas, TX",2014,1764.46749609375
200,"Dallas, TX",2015,1697.1622773437498
201,"Dallas, TX",2016,1665.8041640625
202,"Dallas, TX",2017,1757.5840078125
203,"Dallas, TX",2018,1874.60330859375
204,"Dallas, TX",2019,1800.4146015625001
205,"Dallas, TX",2020,1661.2151718750001
206,"Dallas, TX",2021,1824.12439453125
207,"Dallas, TX",2022,1840.1858671875002
208,"Dallas, TX",2023,1749.17085546875
209,"Denver, CO",2005,1946.6073125
210,"Denver, CO",2006,2013.893578125
211,"Denver, CO",2007,1970.0792656249998
212,"Denver, CO",2008,1765.0908749999999
213,"Denver, CO",2009,1446.6547109374999
214,"Denver, CO",2010,1614.0879765625002
215,"Denver, CO",2011,1736.1421328125
216,"Denver, CO",2012,1756.4844921875
217,"Denver, CO",2013,1739.2717265625
218,"Denver, CO",2014,1804.9931953125
219,"Denver, CO",2015,1736.1421328125
220,"Denver, CO",2016,1704.063796875
221,"Denver, CO",2017,1797.951609375
222,"Denver, CO",2018,1917.6585703125002
223,"Denver, CO",2019,1841.765921875
224,"Denver, CO",2020,1699.36940625
225,"Denver, CO",2021,1866.0202734374998
226,"Denver, CO",2022,1882.450640625
227,"Denver, CO",2023,1789.3452265624999
228,"Detroit, MI",2005,1973.8263937007875
229,"Detroit, MI",2006,2042.0535118110236
230,"Detroit, MI",2007,1997.6265511811023
231,"Detroit, MI",2008,1789.771842519685
232,"Detroit, MI",2009,1466.8830393700787
233,"Detroit, MI",2010,1636.6574960629923
234,"Detroit, MI",2011,1760.41831496063
235,"Detroit, MI",2012,1781.0451181102364
236,"Detroit, MI",2013,1763.5916692913386
237,"Detroit, MI",2014,1830.2321102362205
238,"Detroit, MI",2015,1760.41831496063
239,"Detroit, MI",2016,1727.8914330708662
240,"Detroit, MI",2017,1823.092062992126
241,"Detroit, MI",2018,1944.4728661417325
242,"Detroit, MI",2019,1867.5190236220474
243,"Detroit, MI",2020,1723.1314015748032
244,"Detroit, MI",2021,1892.1125196850394
245,"Detroit, MI",2022,1908.77262992126
246,"Detroit, MI",2023,1814.3653385826772
247,"Fresno, CA",2005,2870.01490625
248,"Fresno, CA",2006,2969.2196015625
249,"Fresno, CA",2007,2904.6211953125
250,"Fresno, CA",2008,2602.3929375
251,"Fresno, CA",2009,2132.90094921875
252,"Fresno, CA",2010,2379.75914453125
253,"Fresno, CA",2011,2559.71184765625
254,"Fresno, CA",2012,2589.7039648437503
255,"Fresno, CA",2013,2564.32601953125
256,"Fresno, CA",2014,2661.22362890625
257,"Fresno, CA",2015,2559.71184765625
258,"Fresno, CA",2016,2512.4165859375
259,"Fresno, CA",2017,2650.8417421875
260,"Fresno, CA",2018,2827.33381640625
261,"Fresno, CA",2019,2715.4401484375003
262,"Fresno, CA",2020,2505.495328125
263,"Fresno, CA",2021,2751.19998046875
264,"Fresno, CA",2022,2775.4243828125
265,"Fresno, CA",2023,2638.1527695312498
266,"Houston, TX",2005,2017.4670322580646
267,"Houston, TX",2006,2087.202629032258
268,"Houston, TX",2007,2041.7934032258063
269,"Houston, TX",2008,1829.3430967741933
270,"Houston, TX",2009,1499.3153306451613
271,"Houston, TX",2010,1672.8434435483873
272,"Houston, TX",2011,1799.3405725806451
273,"Houston, TX",2012,1820.423427419355
274,"Houston, TX",2013,1802.5840887096772
275,"Houston, TX",2014,1870.6979274193548
276,"Houston, TX",2015,1799.3405725806451
277,"Houston, TX",2016,1766.0945322580644
278,"Houston, TX",2017,1863.4000161290323
279,"Houston, TX",2018,1987.4645080645162
280,"Houston, TX",2019,1908.809241935484
281,"Houston, TX",2020,1761.2292580645162
282,"Houston, TX",2021,1933.9464919354837
283,"Houston, TX",2022,1950.9749516129034
284,"Houston, TX",2023,1854.4803467741935
285,"Jacksonville, FL",2005,2502.08208
286,"Jacksonville, FL",2006,2588.56884
287,"Jacksonville, FL",2007,2532.25188
288,"Jacksonville, FL",2008,2268.76896
289,"Jacksonville, FL",2009,1859.46534
290,"Jacksonville, FL",2010,2074.6765800000003
291,"Jacksonville, FL",2011,2231.5595399999997
292,"Jacksonville, FL",2012,2257.7067
293,"Jacksonville, FL",2013,2235.58218
294,"Jacksonville, FL",2014,2320.05762
295,"Jacksonville, FL",2015,2231.5595399999997
