,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020,2021,2022,2023
0,"Albuquerque, NM",153134.09665377918,170259.00761938063,193305.91972135552,200215.21142864184,187486.92932102937,180903.7566140756,171329.02972452028,164757.2450241565,163877.7830598884,166668.56531744427,169546.3791116547,176038.32562209596,183130.69966234025,189542.1959488074,198026.609649122,212967.82128077213,212967.82128077213,241066.30317073516,280587.61042270117,308189.8925962145
1,"Anchorage, AK",207175.76945344656,226903.47799878064,243855.6975727967,253043.6570034155,253020.63858997473,253109.2012645701,252403.9851493542,249462.27432973945,264355.94225481624,271296.8617523187,281376.3352711843,292431.6814032562,293779.6613773465,295023.1837112262,297315.8651071857,324045.55037759827,324045.55037759827,328279.7091224299,349201.1552403949,363730.63822605787
2,"Atlanta, GA",179505.70706820185,186545.6016358247,192300.4814371747,191047.16747768235,171838.82835744057,152781.21085792466,139138.93314258137,125489.46994623018,131061.11555003708,154395.39483579254,169023.9332571948,183060.40039975863,196831.95323645032,213850.99165346005,232342.0093872761,244899.254852978,244899.254852978,271374.52932978206,333524.710382461,366964.15665836626
3,"Austin, TX",186656.87802022783,192941.3852110844,199709.9936627977,207084.2384751653,201617.90676154103,198154.57712259973,192188.4682309729,190162.5734561691,201536.7160138672,223587.27079857385,248561.1051651803,271392.9314717742,287958.92869934003,298873.1355637464,308349.54946870374,322358.21632332477,322358.21632332477,366784.26871569856,495450.5345857448,499571.63742171664
4,"Baltimore, MD",240788.2638526802,287923.88522722217,308939.030866428,304359.4937159394,278858.0685201346,259095.85829027605,245870.769189258,232832.5062670987,240968.1897062825,253533.2865780904,259239.08282430572,265118.80355252296,271451.1490017032,279396.77977454016,286911.23685705086,296632.1900836734,296632.1900836734,319312.75430747686,348937.3299179425,363343.53860984533
5,"Boston, MA",382715.968492721,398584.1157533663,377807.7125171619,362087.0487478172,335987.7475930564,329631.9047846941,328532.8761178665,314696.99558469857,329627.2669276521,356868.3731855373,375171.9118105902,402685.5951287127,428359.3424965238,457286.2359429728,478874.665334091,490862.9360709424,490862.9360709424,540775.5898770626,590259.2572610398,624716.6454203163
6,"Charlotte, NC",158158.77813357208,163575.50105612815,171928.97741144805,179513.45532335388,171800.45585277927,163543.22569762744,154086.6303000778,145167.4519616901,149210.00680160953,160115.64260903353,167340.16168305368,180624.0523065118,195158.1595613238,211730.4269995833,226208.93426283667,239514.12018843103,239514.12018843103,270388.4235468865,331921.34780008876,364815.9836160877
7,"Chicago, IL",225717.5876667822,246012.88796886124,255288.26253275215,250497.66396981303,223765.06668962003,201582.84284978887,186465.25207856935,170878.65327552307,167263.69485876928,186017.9032578377,196689.31774051444,206636.52032523585,216358.81746089397,228031.16239960017,235260.93125496036,240163.15865755008,240163.15865755008,256464.63527324295,281357.75123255834,295101.4123467014
8,"Cincinnati, OH",152092.4968511574,156955.3959392762,159202.015388047,156781.6649590662,149453.60140062313,145555.41035965926,141293.0570614894,134287.13410296242,135560.42106646072,141983.10591043404,146468.34625634077,154387.47801718194,162246.14670243152,171235.49528084244,183156.8259929025,194542.5994563574,194542.5994563574,219425.2129474283,244040.19498073973,262513.3766296672
