iter	RMSE
0	0.2014941448
1	0.1952274553
2	0.1892396264
3	0.1836420217
4	0.1771513453
5	0.17169003
6	0.1667003323
7	0.1616007087
8	0.1570963839
9	0.151982584
10	0.1485968874
11	0.1443521801
12	0.1406264445
13	0.1357284898
14	0.1330866678
15	0.1290513006
16	0.1260380139
17	0.1221569505
18	0.1194449635
19	0.1174157266
20	0.1143057363
21	0.1113244186
22	0.1085141313
23	0.1052583134
24	0.1030276656
25	0.1015109989
26	0.09898575759
27	0.09683897236
28	0.09482006603
29	0.09268587155
30	0.09054762149
31	0.08885255987
32	0.08717477774
33	0.08575888106
34	0.08449493517
35	0.08301523802
36	0.08205850331
37	0.0810013175
38	0.07969886031
39	0.07869002261
40	0.07722301526
41	0.07561242532
42	0.07471438721
43	0.07358020637
44	0.07262122058
45	0.07170496181
46	0.07066461573
47	0.06987512382
48	0.06907613733
49	0.06805998992
50	0.06713441147
51	0.06621828331
52	0.06552560868
53	0.06485485473
54	0.06393863584
55	0.06327416544
56	0.06241221996
57	0.06133512147
58	0.06058506568
59	0.06012065415
60	0.05917921145
61	0.05861978872
62	0.05808476032
63	0.05731768624
64	0.05681445988
65	0.05616729822
66	0.05557654108
67	0.05517750601
68	0.05471419809
69	0.05393182798
70	0.05348077352
71	0.05293727991
72	0.05236765375
73	0.05188086238
74	0.051345848
75	0.05073247041
76	0.05027934507
77	0.04974039697
78	0.04920302678
79	0.04864147225
80	0.04829176401
81	0.04786670765
82	0.04744786458
83	0.04697058719
84	0.0467219969
85	0.04624594944
86	0.04581798237
87	0.04525868636
88	0.04486424049
89	0.04437085042
90	0.04399109854
91	0.04346859829
92	0.04308736769
93	0.04260592195
94	0.0422337669
95	0.04197667668
96	0.04158262333
97	0.04132397774
98	0.04081272404
99	0.04051024673
100	0.0401152839
101	0.03971498721
102	0.0393056044
103	0.03898047631
104	0.03866191239
105	0.03819778708
106	0.03795310332
107	0.03763457183
108	0.03721236388
109	0.03685035933
110	0.03661055062
111	0.03629539434
112	0.03596412408
113	0.03564088907
114	0.03534932388
115	0.03506926666
116	0.03478853874
117	0.0345379988
118	0.03416191937
119	0.03390461693
120	0.03361368407
121	0.03329050878
122	0.03296196914
123	0.03268349959
124	0.03239464204
125	0.03208705458
126	0.03175940275
127	0.0314313409
128	0.03118112533
129	0.03092511423
130	0.03069400093
131	0.03047171038
132	0.03022462313
133	0.03003215802
134	0.02975217463
135	0.02946715988
136	0.0292260242
137	0.02901650585
138	0.02883399671
139	0.02860623341
140	0.02835947236
141	0.02808367895
142	0.02786390602
143	0.02766976675
144	0.02744310204
145	0.02722387013
146	0.02700562008
147	0.02676876322
148	0.02651726863
149	0.02634880714
150	0.02614471327
151	0.02594570696
152	0.02577059042
153	0.02556619912
154	0.02533322842
155	0.02511270699
156	0.02492681927
157	0.02470886269
158	0.02455812638
159	0.02435398035
160	0.02415783511
161	0.0239532364
162	0.02375703953
163	0.02356695927
164	0.02340489497
165	0.02322306062
166	0.02305948803
167	0.02290646179
168	0.0227481518
169	0.02260774634
170	0.02243909648
171	0.02230946415
172	0.02213337248
173	0.02196898373
174	0.02182384582
175	0.02167308475
176	0.02153770114
177	0.02137565265
178	0.02124160746
179	0.02108690892
180	0.02094471051
181	0.0207916483
182	0.02065679571
183	0.02050949456
184	0.02037500633
185	0.02024555686
186	0.02011789554
187	0.02000087588
188	0.01987393503
189	0.01973685479
190	0.01962343044
191	0.0194904201
192	0.01937525127
193	0.01924491886
194	0.01912250964
195	0.0189982057
196	0.01888509651
197	0.01877624206
198	0.01867296816
199	0.0185657573
200	0.01845599246
201	0.01834780261
202	0.01822835207
203	0.0181338197
204	0.01803413615
205	0.01792722158
206	0.01782107789
207	0.01771949135
208	0.01760822907
209	0.01751500742
210	0.01742080344
211	0.01732092993
212	0.01722864358
213	0.01712414737
214	0.01703789629
215	0.01693543249
216	0.01684675554
217	0.01674465036
218	0.01665253571
219	0.01656804067
220	0.01648526102
221	0.01640628759
222	0.01632616357
223	0.01623095482
224	0.01613926178
225	0.01605257528
226	0.0159648267
227	0.01587938213
228	0.0157974541
229	0.01571420058
230	0.01562949265
231	0.01555682061
232	0.01548416505
233	0.01540879627
234	0.01535753512
235	0.01528644457
236	0.015210825
237	0.01513587237
238	0.01505946105
239	0.01499177438
240	0.01491861333
241	0.01485166863
242	0.01479045284
243	0.01473234224
244	0.01466695559
245	0.01459751164
246	0.0145281591
247	0.0144689358
248	0.01439935806
249	0.01433408328
250	0.01427209435
251	0.01421231199
252	0.01414861338
253	0.01408830504
254	0.01403427795
255	0.01398936619
256	0.01393127431
257	0.01388625709
258	0.01383934518
259	0.01378504976
260	0.013728123
261	0.01367571615
262	0.01362782077
263	0.01358556556
264	0.01354734678
265	0.0134863875
266	0.01344963023
267	0.01337454683
268	0.01331915215
269	0.01326660835
270	0.01321955261
271	0.01313692488
272	0.01309848605
273	0.0130295492
274	0.01298809889
275	0.01291975088
276	0.01286397772
277	0.01281145137
278	0.01276162506
279	0.01270862687
280	0.01263590655
281	0.01259325454
282	0.0125455666
283	0.01251449131
284	0.01248256664
